T_A[K] T_B[K] CNT sr860x[V] sr860y[V] sr860f[Hz] sr860sin[V] yyyy-mm-dd hh:mm:ss.ccccc
112.886667 112.340000 52 0.15886141 -0.00217990 33.3330 1.0000000000 2022-12-21 22:08:07.558161
112.900000 112.346667 53 0.15879144 -0.00217632 33.3330 1.0000000000 2022-12-21 22:08:09.418792
112.910000 112.350000 54 0.15874212 -0.00217507 33.3330 1.0000000000 2022-12-21 22:08:11.301911
112.916667 112.360000 55 0.15867074 -0.00217127 33.3330 1.0000000000 2022-12-21 22:08:13.175161
112.920000 112.360000 56 0.15860017 -0.00216817 33.3330 1.0000000000 2022-12-21 22:08:15.045333
112.920000 112.366667 57 0.15852551 -0.00216492 33.3330 1.0000000000 2022-12-21 22:08:16.935410
112.920000 112.370000 58 0.15845923 -0.00216155 33.3330 1.0000000000 2022-12-21 22:08:18.805171
112.926667 112.380000 59 0.15839276 -0.00215858 33.3330 1.0000000000 2022-12-21 22:08:20.707657
112.930000 112.385000 60 0.15832533 -0.00215551 33.3330 1.0000000000 2022-12-21 22:08:22.563190
112.943333 112.400000 61 0.15827579 -0.00215363 33.3330 1.0000000000 2022-12-21 22:08:24.434070
112.951667 112.400000 62 0.15822556 -0.00215026 33.3330 1.0000000000 2022-12-21 22:08:26.303815
112.955000 112.400000 63 0.15816288 -0.00214772 33.3330 1.0000000000 2022-12-21 22:08:28.179212
112.960000 112.410000 64 0.15810523 -0.00214540 33.3330 1.0000000000 2022-12-21 22:08:30.063722
112.965000 112.410000 65 0.15805942 -0.00214359 33.3330 1.0000000000 2022-12-21 22:08:31.960381
112.965000 112.423333 66 0.15801543 -0.00214118 33.3330 1.0000000000 2022-12-21 22:08:33.831788
112.968333 112.430000 67 0.15797586 -0.00214000 33.3330 1.0000000000 2022-12-21 22:08:35.711168
112.971667 112.436667 68 0.15792613 -0.00213744 33.3330 1.0000000000 2022-12-21 22:08:37.566531
112.980000 112.450000 69 0.15786007 -0.00213402 33.3330 1.0000000000 2022-12-21 22:08:39.453627
112.990000 112.450000 70 0.15780459 -0.00213230 33.3330 1.0000000000 2022-12-21 22:08:41.305914
112.996667 112.460000 71 0.15774359 -0.00212918 33.3330 1.0000000000 2022-12-21 22:08:43.185380
113.006667 112.460000 72 0.15768377 -0.00212673 33.3330 1.0000000000 2022-12-21 22:08:45.083184
113.008333 112.463333 73 0.15762354 -0.00212397 33.3330 1.0000000000 2022-12-21 22:08:46.987189
113.011667 112.470000 74 0.15757107 -0.00212184 33.3330 1.0000000000 2022-12-21 22:08:48.840160
113.016667 112.480000 75 0.15750292 -0.00211836 33.3330 1.0000000000 2022-12-21 22:08:50.730064
113.018333 112.485000 76 0.15744504 -0.00211627 33.3330 1.0000000000 2022-12-21 22:08:52.628877
113.020000 112.490000 77 0.15738423 -0.00211419 33.3330 1.0000000000 2022-12-21 22:08:54.581167
113.033333 112.500000 78 0.15732836 -0.00211049 33.3330 1.0000000000 2022-12-21 22:08:56.456138
113.036667 112.503333 79 0.15728198 -0.00210898 33.3330 1.0000000000 2022-12-21 22:08:58.335551
113.056667 112.516667 80 0.15722562 -0.00210649 33.3330 1.0000000000 2022-12-21 22:09:00.237533
113.055000 112.520000 81 0.15716046 -0.00210402 33.3330 1.0000000000 2022-12-21 22:09:02.104282
113.061667 112.530000 82 0.15709740 -0.00210106 33.3330 1.0000000000 2022-12-21 22:09:04.004290
113.065000 112.530000 83 0.15703996 -0.00209819 33.3330 1.0000000000 2022-12-21 22:09:05.867555
113.065000 112.536667 84 0.15698828 -0.00209459 33.3330 1.0000000000 2022-12-21 22:09:07.767230
113.070000 112.540000 85 0.15691165 -0.00209180 33.3330 1.0000000000 2022-12-21 22:09:09.633150
113.081667 112.550000 86 0.15685458 -0.00209005 33.3330 1.0000000000 2022-12-21 22:09:11.488433
113.086667 112.558333 87 0.15678621 -0.00208713 33.3330 1.0000000000 2022-12-21 22:09:13.388798
113.101667 112.560000 88 0.15672227 -0.00208399 33.3330 1.0000000000 2022-12-21 22:09:15.248369
113.105000 112.561667 89 0.15665245 -0.00208112 33.3330 1.0000000000 2022-12-21 22:09:17.108306
113.110000 112.570000 90 0.15659332 -0.00207800 33.3330 1.0000000000 2022-12-21 22:09:18.995886
113.120000 112.580000 91 0.15652652 -0.00207549 33.3330 1.0000000000 2022-12-21 22:09:20.869538
113.121667 112.590000 92 0.15647109 -0.00207230 33.3330 1.0000000000 2022-12-21 22:09:22.738397
113.123333 112.590000 93 0.15641744 -0.00207072 33.3330 1.0000000000 2022-12-21 22:09:24.587154
113.126667 112.590000 94 0.15635294 -0.00206775 33.3330 1.0000000000 2022-12-21 22:09:26.484418
113.126667 112.600000 95 0.15630997 -0.00206595 33.3330 1.0000000000 2022-12-21 22:09:28.389384
113.136667 112.610000 96 0.15625101 -0.00206307 33.3330 1.0000000000 2022-12-21 22:09:30.271067
113.143333 112.620000 97 0.15620060 -0.00206035 33.3330 1.0000000000 2022-12-21 22:09:32.108734
113.153333 112.635000 98 0.15615461 -0.00205875 33.3330 1.0000000000 2022-12-21 22:09:33.962272
113.165000 112.638333 99 0.15607962 -0.00205510 33.3330 1.0000000000 2022-12-21 22:09:35.831789
113.176667 112.633333 100 0.15600377 -0.00205293 33.3330 1.0000000000 2022-12-21 22:09:37.741932
113.181667 112.640000 101 0.15592833 -0.00204919 33.3330 1.0000000000 2022-12-21 22:09:39.588915
113.178333 112.641667 102 0.15585608 -0.00204696 33.3330 1.0000000000 2022-12-21 22:09:41.488813
113.185000 112.650000 103 0.15579200 -0.00204339 33.3330 1.0000000000 2022-12-21 22:09:43.390921
113.190000 112.660000 104 0.15574741 -0.00204152 33.3330 1.0000000000 2022-12-21 22:09:45.253974
113.191667 112.665000 105 0.15567009 -0.00203783 33.3330 1.0000000000 2022-12-21 22:09:47.102680
113.193333 112.675000 106 0.15561505 -0.00203634 33.3330 1.0000000000 2022-12-21 22:09:48.987784
113.201667 112.680000 107 0.15557432 -0.00203358 33.3330 1.0000000000 2022-12-21 22:09:50.848329
113.215000 112.690000 108 0.15550873 -0.00203164 33.3330 1.0000000000 2022-12-21 22:09:52.707097
113.223333 112.690000 109 0.15544132 -0.00202859 33.3330 1.0000000000 2022-12-21 22:09:54.594795
113.233333 112.700000 110 0.15537892 -0.00202587 33.3330 1.0000000000 2022-12-21 22:09:56.461553
113.240000 112.708333 111 0.15530983 -0.00202326 33.3330 1.0000000000 2022-12-21 22:09:58.352852
113.243333 112.710000 112 0.15525348 -0.00202021 33.3330 1.0000000000 2022-12-21 22:10:00.207406
113.245000 112.718333 113 0.15518117 -0.00201663 33.3330 1.0000000000 2022-12-21 22:10:02.085027
113.250000 112.720000 114 0.15511632 -0.00201450 33.3330 1.0000000000 2022-12-21 22:10:03.965484
113.253333 112.723333 115 0.15505469 -0.00201180 33.3330 1.0000000000 2022-12-21 22:10:05.826913
113.256667 112.723333 116 0.15500460 -0.00200928 33.3330 1.0000000000 2022-12-21 22:10:07.708865
113.255000 112.735000 117 0.15495415 -0.00200651 33.3330 1.0000000000 2022-12-21 22:10:09.596457
113.266667 112.748333 118 0.15490687 -0.00200563 33.3330 1.0000000000 2022-12-21 22:10:11.489748
113.276667 112.760000 119 0.15485564 -0.00200338 33.3330 1.0000000000 2022-12-21 22:10:13.389799
